11804 (11856, 129.53900003433228)
11540 (11600, 123.66199994087219)
11539 (11592, 122.29800009727478 )
11538 (11592, 122.18599987030029)
11537 (11594, 137.67200016975403)
11536 (11592, 150.84599995613098)
11535 (11592, 127.0460000038147)
11534 (11592, 121.8289999961853)
11533 (11583, 121.43199992179871)
11532 (11600, 120.58800005912781)
11531 (11592, 120.80900001525879)
11530 (11592, 120.51199984550476)
11529 (11583, 120.56000018119812)
11528 (11592, 120.56099987030029)
11527 (11592, 120.68600010871887 )
11526 (11592, 120.31200003623962)
11525 (11583, 120.7960000038147)
11524 (11592, 120.46799993515015)
11523 (11550, 120.57800006866455)
11522 (11592, 139.77800011634827)
11521 (11550, 127.27999997138977 )
11520 (11560, 120.25)
11519 (11550, 120.375)
11518 (11592, 120.06200003623962)
11517 (11550, 120.10899996757507)
11516 (11560, 120.3270001411438)
11515 (11550, 120.40599989891052)
11514 (11616, 120.56200003623962 )
11513 (11550, 120.89000010490417)
11512 (11592, 120.95199990272522)
11511 (11550, 120.85899996757507)
11510 (11552, 120.34299993515015)
11509 (11550, 120.7810001373291)
11508 (11560, 126.13899993896484 )
11507 (11550, 158.30700016021729)
11506 (11552, 129.48300004005432)
